,intercept_mean,intercept_lower,intercept_upper,HIVprevalence_beta_mean,HIVprevalence_beta_lower,HIVprevalence_beta_upper,perc_black_beta_mean,perc_black_beta_lower,perc_black_beta_upper,pctunins_beta_mean,pctunins_beta_lower,pctunins_beta_upper,log_household_income_beta_mean,log_household_income_beta_lower,log_household_income_beta_upper,state
0,15.243597758017767,13.278228593229189,17.149900643910144,12.522004201108397,8.479018054849268,16.838716139483402,3.4237998170178856,1.5406458800996206,5.350440111138453,1.2777809072841755,-1.4413509647091969,4.440979592192374,-6.24647895431427,-9.02361774487375,-3.489945623766352,AL
1,14.844113771652024,11.774706947558958,17.51871324063279,8.705774209711196,3.693847154536347,14.321208745696111,3.053605337835975,-0.23769675632154322,5.570791121695696,0.0967897866025543,-3.369448972065825,3.50109067067462,-0.22922773146125888,-6.271355266001614,5.542370039216758,AK
2,14.917706787025887,12.479285171100383,17.47727806259,8.860825922286393,4.007231635000559,13.740775125879543,3.210958560713335,0.9217851617876675,5.742253735814545,0.6466691018004375,-2.1138076706822475,3.2328745511239005,-0.18321767811774967,-3.3519702966844975,3.226363314593966,AZ
3,15.427356891685328,13.534589976952068,17.899139491087237,7.255058406687734,2.395174356033305,11.595148284277165,2.3898672803379557,-0.348197124293039,4.40298877222393,0.611200973795552,-2.9737134397750853,3.737398355555544,-2.1941635098791377,-6.492711178532419,1.8538839502186542,AR
4,14.517228753161165,12.117849443648259,16.425294838345437,6.062520339775759,3.761273433560046,8.252910284544361,3.5326588490705455,1.492331910278302,5.990555163404957,1.0627591944372146,-1.3320786304368464,3.6008987405206945,0.6679844069269684,-1.3355084003274542,2.743706873296185,CA
5,14.993346263737832,12.728520021613994,17.24826088194837,6.7679996882929006,3.368690235882748,10.400757923593517,2.9825641618704033,0.316173341556414,5.287928673968006,0.7425063104550124,-1.8929440577892545,3.123477377703861,-2.5059223561701582,-6.366075537431742,1.1685459149474298,CO
6,14.67257964277309,11.984857192149219,17.029708965921294,8.268011717319803,2.8870506300514953,13.719539027033457,3.3053534435562097,0.5505469514383782,6.093719879746774,0.7085946577961137,-2.2455241684360985,3.4073442567662937,-2.0105113301860587,-6.210517197541969,2.1077286025106168,CT
7,14.702248953314754,11.88600578771643,17.137901118810134,7.839958382804768,1.77478032546625,13.092165797303794,3.008749036030381,0.09433305017528681,5.670353420981645,0.7819291246529038,-2.330950478349077,4.382022230516188,-1.2455509032667682,-7.67932108335858,5.052851521269245,DE
8,14.859294920352745,12.19009069374832,17.424333075841123,5.69853277120091,3.8500788201115546,7.696939121574297,2.928312502883408,-0.4187620088313005,5.89240149205813,0.3814802441672057,-3.5139851013286596,3.7262072519907754,-0.685113174608951,-6.758602243316511,6.113374414391048,DC
9,14.717416818870703,13.010683806580916,16.420732895001596,5.596854293784599,4.211608980901987,6.900296127273596,4.1498879205058055,2.2684638805151662,6.591606789627407,1.9018500899773314,0.20905867724735103,3.7369182696523118,2.211678868866536,0.48402552622584416,3.8903355699743236,FL
